country,beer,spirit,wine,litres,continent,beer_level
Mauritius,98.0,31,18,2.6,AF,low
Mexico,238.0,68,5,5.5,NA,high
Micronesia,62.0,50,18,2.3,OC,low
Monaco,0.0,0,0,0.0,EU,low
Mongolia,77.0,189,8,4.9,AS,low
Montenegro,31.0,114,128,4.9,EU,low
Morocco,12.0,6,10,0.5,AF,low
Mozambique,47.0,18,5,1.3,AF,low
Myanmar,5.0,1,0,0.1,AS,low
Namibia,376.0,3,1,6.8,AF,high
Nauru,49.0,0,8,1.0,OC,low
Nepal,5.0,6,0,0.2,AS,low
Netherlands,251.0,88,190,9.4,EU,high
New Zealand,203.0,79,175,9.3,OC,high
Nicaragua,78.0,118,1,3.5,NA,low
Niger,3.0,2,1,0.1,AF,low
Nigeria,42.0,5,2,9.1,AF,low
Niue,188.0,200,7,7.0,OC,med
Norway,169.0,71,129,6.7,EU,med
Oman,22.0,16,1,0.7,AS,low
Pakistan,0.0,0,0,0.0,AS,low
Palau,306.0,63,23,6.9,OC,high
Panama,285.0,104,18,7.2,NA,high
Papua New Guinea,44.0,39,1,1.5,OC,low
Paraguay,213.0,117,74,7.3,SA,high
Peru,163.0,160,21,6.1,SA,med
Philippines,71.0,186,1,4.6,AS,low
Poland,343.0,215,56,10.9,EU,high
Portugal,194.0,67,339,11.0,EU,med
Qatar,1.0,42,7,0.9,AS,low
South Korea,140.0,16,9,9.8,AS,med
Moldova,109.0,226,18,6.3,EU,med
Romania,297.0,122,167,10.4,EU,high
Russian Federation,247.0,326,73,11.5,AS,high
Rwanda,43.0,2,0,6.8,AF,low
St. Kitts & Nevis,194.0,205,32,7.7,NA,med
St. Lucia,171.0,315,71,10.1,NA,med
St. Vincent & the Grenadines,120.0,221,11,6.3,NA,med
Samoa,105.0,18,24,2.6,OC,med
San Marino,0.0,0,0,0.0,EU,low
Sao Tome & Principe,56.0,38,140,4.2,AF,low
Saudi Arabia,0.0,5,0,0.1,AS,low
Senegal,9.0,1,7,0.3,AF,low
Serbia,283.0,131,127,9.6,EU,high
Seychelles,157.0,25,51,4.1,AF,med
Sierra Leone,25.0,3,2,6.7,AF,low
Singapore,60.0,12,11,1.5,AS,low
Slovakia,196.0,293,116,11.4,EU,med
Slovenia,270.0,51,276,10.6,EU,high
Solomon Islands,56.0,11,1,1.2,OC,low
Somalia,0.0,0,0,0.0,AF,low
South Africa,225.0,76,81,8.2,AF,high
Spain,284.0,157,112,10.0,EU,high
Sri Lanka,16.0,104,0,2.2,AS,low
Sudan,8.0,13,0,1.7,AF,low
Suriname,128.0,178,7,5.6,SA,med
Swaziland,90.0,2,2,4.7,AF,low
Sweden,152.0,60,186,7.2,EU,med
Switzerland,185.0,100,280,10.2,EU,med
Syria,5.0,35,16,1.0,AS,low
Tajikistan,2.0,15,0,0.3,AS,low
Thailand,99.0,258,1,6.4,AS,low
Macedonia,106.0,27,86,3.9,EU,med
Timor-Leste,1.0,1,4,0.1,AS,low
Togo,36.0,2,19,1.3,AF,low
Tonga,36.0,21,5,1.1,OC,low
Trinidad & Tobago,197.0,156,7,6.4,NA,med
Tunisia,51.0,3,20,1.3,AF,low
Turkey,51.0,22,7,1.4,AS,low
Turkmenistan,19.0,71,32,2.2,AS,low
Tuvalu,6.0,41,9,1.0,OC,low
Uganda,45.0,9,0,8.3,AF,low
Ukraine,206.0,237,45,8.9,EU,high
United Arab Emirates,16.0,135,5,2.8,AS,low
United Kingdom,219.0,126,195,10.4,EU,high
Tanzania,36.0,6,1,5.7,AF,low
USA,249.0,158,84,8.7,NA,high
Uruguay,115.0,35,220,6.6,SA,med
Uzbekistan,25.0,101,8,2.4,AS,low
Vanuatu,21.0,18,11,0.9,OC,low
Venezuela,333.0,100,3,7.7,SA,high
Vietnam,111.0,2,1,2.0,AS,med
Yemen,6.0,0,0,0.1,AS,low
Zambia,32.0,19,4,2.5,AF,low
Zimbabwe,64.0,18,4,4.7,AF,low
